settings,Тестирование,,40,minutes,,10,80.0,10.0,,,rand,,200.0
question,"На какой срок работодатель в случае производственной необходимости, в том числе временного замещения отсутствующего работника, имеет право переводить работника без его согласия на другую не обусловленную трудовым договором и не противопоказанную ему по состоянию здоровья работу в той же организации, в той же местности либо в структурное подразделение работодателя, расположенное в другой местности, с оплатой труда по выполняемой работе, но не ниже средней заработной платы по прежней работе?",,single_choice,1.00,1.0,1,1.0,,,,,,
answer,на срок до одного месяца в течение календарного года,text,0,0,,1,,,,,,
answer,на срок до двух месяцев в течение календарного года,text,0,0,,2,,,,,,
answer,на срок до трёх месяцев в течение календарного года,text,1,0,,3,,,,,,
answer,на срок до шести месяцев в течение календарного года,text,0,0,,4,,,,,,
question,"Какова максимальная продолжительность испытательного срока для руководителей организаций и их заместителей, главных бухгалтеров и их заместителей, руководителей филиалов, представительств организаций?",,single_choice,1.00,2.0,1,1.0,,,,,,
answer,не более одного месяца,text,0,0,,1,,,,,,
answer,не более двух месяцев,text,0,0,,2,,,,,,
answer,не более шести месяцев,text,1,0,,3,,,,,,
answer,не более четырёх месяцев,text,0,0,,4,,,,,,
question,В какой срок на работника налагается дисциплинарное взыскание?,,single_choice,1.00,3.0,1,1.0,,,,,,
answer,"непосредственно за обнаружением дисциплинарного проступка, но не позднее десяти дней со дня его обнаружения",text,0,0,,1,,,,,,
answer,"непосредственно за обнаружением дисциплинарного проступка, но не позднее двадцати дней со дня его обнаружения",text,0,0,,2,,,,,,
answer,"непосредственно за обнаружением дисциплинарного проступка, но не позднее одного месяца со дня его обнаружения",text,1,0,,3,,,,,,
answer,"непосредственно за обнаружением дисциплинарного проступка, но не позднее трёх месяцев со дня его обнаружения",text,0,0,,4,,,,,,
question,Какова продолжительность перерыва для отдыха и приёма пищи работника в течение ежедневной работы (рабочей смены)?,,single_choice,1.00,4.0,1,1.0,,,,,,
answer,не менее 20 минут,text,0,0,,1,,,,,,
answer,не менее получаса,text,1,0,,2,,,,,,
answer,не менее часа,text,0,0,,3,,,,,,
answer,не менее 1часа 30 минут,text,0,0,,4,,,,,,
question,Какой период рабочего времени считается ночным?,,single_choice,1.00,5.0,1,1.0,,,,,,
answer,время с 20 часов до 6 часов утра,text,0,0,,1,,,,,,
answer,время с 21 часа до 5 часов утра,text,0,0,,2,,,,,,
answer,время с 22 часов до 7 часов утра,text,0,0,,3,,,,,,
answer,время с 22 часов до 6 часов утра,text,1,0,,4,,,,,,
question,"Каково предельное количество сверхурочных работ для каждого работника в течение суток на тяжелых работах, работах с вредными (особо вредными) и (или) опасными условиями труда?",,single_choice,1.00,6.0,1,1.0,,,,,,
answer,один час,text,1,0,,1,,,,,,
answer,два часа,text,0,0,,2,,,,,,
answer,три часа,text,0,0,,3,,,,,,
answer,четыре часа,text,0,0,,4,,,,,,
question, Какова продолжительность рабочего времени для работников в возрасте от четырнадцати до шестнадцати лет?,,single_choice,1.00,7.0,1,1.0,,,,,,
answer,не более 24 часов в неделю,text,1,0,,1,,,,,,
answer,не более 28 часов в неделю,text,0,0,,2,,,,,,
answer,не более 32 часов в неделю,text,0,0,,3,,,,,,
answer,не более 36 часов в неделю,text,0,0,,4,,,,,,
question,Какое время отсутствия работника на работе без уважительной причины является основанием расторжения трудового договора по инициативе работодателя?,,single_choice,1.00,8.0,1,1.0,,,,,,
answer,в течение одного и более часов подряд за один рабочий день (рабочую смену),text,0,0,,1,,,,,,
answer,в течение двух и более часов подряд за один рабочий день (рабочую смену),text,0,0,,2,,,,,,
answer,в течение трех и более часов подряд за один рабочий день (рабочую смену),text,1,0,,3,,,,,,
answer,в течение четырех и более часов подряд за один рабочий день (рабочую смену),text,0,0,,4,,,,,,
question,Укажите общую продолжительность сверхурочных работ в обычных условиях:,,single_choice,1.00,9.0,1,1.0,,,,,,
answer,двенадцать часов в месяц и сто двадцать часов в год,text,0,0,,1,,,,,,
answer,десять часов в месяц и сто часов в год,text,0,0,,2,,,,,,
answer,одиннадцать часов в месяц и сто десять часов в год,text,0,0,,3,,,,,,
answer,двенадцать часов в месяц и сто часов в год.,text,1,0,,4,,,,,,
question,Каково предельное количество сверхурочных работ для каждого работника в обычных условиях в течение суток?,,single_choice,1.00,10.0,1,1.0,,,,,,
answer,один час,text,0,0,,1,,,,,,
answer,два часа,text,1,0,,2,,,,,,
answer,три часа,text,0,0,,3,,,,,,
answer,четыре часа,text,0,0,,4,,,,,,
